Instance	Label	Score	Probability	Log-loss	Assigned
0	0	-3.47622561	0.0299963076	0.043937855788646223	0
1	0	1.97742987	0.878406942	3.0398672289117084	1
2	0	-3.93716	0.0191304162	0.027866766122312772	0
3	0	1.96613646	0.877195537	3.025565103391862	1
4	0	-3.54516554	0.0280540958	0.041052075213682405	0
5	1	8.377453	0.999770045	0.00033179268362335749	1
6	0	-1.91641521	0.128261849	0.19803324588790117	0
7	0	-4.46966362	0.0113215223	0.01642666797517562	0
8	0	-4.81061363	0.008077091	0.0117000937881621	0
9	0	-3.920455	0.0194464065	0.0283316098608218	0
10	0	-5.14151335	0.005814822	0.0084135000328251115	0
11	0	-4.919286	0.00725137955	0.010499643937654568	0
12	1	-0.859853745	0.2973699	1.7496694835410176	0
13	0	-4.398094	0.0121512907	0.017637987289671399	0
14	1	5.681495	0.996603131	0.0049089879584418182	1
15	1	0.2519083	0.562646151	0.82970020150393009	1
16	0	-4.10382557	0.0162412636	0.023623552162962799	0
17	0	-3.88395548	0.0201547332	0.029374152252344635	0
18	1	5.44960642	0.9957204	0.0061874265268757394	1
19	0	-3.06849575	0.044425644	0.065559957020197429	0
20	1	3.96267843	0.9813426	0.027171185979008489	1
21	1	5.265054	0.9948575	0.0074382155674881083	1
22	0	-4.51155567	0.0108620832	0.015756402974357524	0
23	1				
24	0	-5.107146	0.00601691334	0.0087067913827365544	0
25	1	0.6726794	0.6621029	0.59487269328676762	1
26	0	-4.36255264	0.0125854	0.018272117354929882	0
27	0	-3.696096	0.0242191125	0.035370869193417386	0
28	0	-4.919286	0.00725137955	0.010499643937654568	0
29	0	-5.087383	0.00613627164	0.0088800417842077196	0
30	0	-4.545923	0.0104989745	0.015226892391752322	0
31	0	-4.69941568	0.009018519	0.013069997580773615	0
32	1	4.57042646	0.989752531	0.014860243285211676	1
33	0	-4.53002071	0.0106654745	0.015469670227781259	0
34	0	-4.281804	0.0136293843	0.019798272915656116	0
35	0	-4.919286	0.00725137955	0.010499643937654568	0
36	1	6.09622145	0.9977537	0.0032444004285129453	1
37	0	-2.04001045	0.115065664	0.17635768683092809	0
38	1	3.6194644	0.973902345	0.038150977482211336	1
39	1	0.673018932	0.6621788	0.59470724065030856	1
40	0				
41	1	1.75375986	0.8524264	0.23035280375662126	1
42	1	5.60796976	0.9963449	0.0052828205055256471	1
43	1	-0.5184488	0.37321502	1.4219210475645763	0
44	1	5.661514	0.9965348	0.0050078732952072418	1
45	0	-5.24488	0.00524677942	0.0075894301330688063	0
46	1	3.03901243	0.954305768	0.06747650232796755	1
47	0	-5.327016	0.00483505568	0.0069924288920724343	0
48	0	-3.54516554	0.0280540958	0.041052075213682405	0
49	1	4.02225351	0.9824027	0.025613595109697889	1
50	1	1.31416464	0.7882092	0.34334950630931704	1
51	1	-0.5558038	0.36451894	1.4559343157766462	0
52	1	3.56904078	0.9725896	0.040096912302954736	1
53	1	3.83922148	0.978942633	0.030703776406726242	1
54	1	4.62925673	0.990332365	0.014015306142000807	1
55	1	3.3243556	0.965254962	0.051018028703511277	1
56	1	4.66517	0.9906702	0.013523233244319009	1
57	1	-0.0687437057	0.482820839	1.0504401503071727	0
58	1	0.9345908	0.7180057	0.47793276397668089	1
59	1	0.770846844	0.6837041	0.54855606406682578	1
60	1	1.01763678	0.734512031	0.44514197301676384	1
61	0	-4.97249031	0.006878241	0.0099574885266009768	0
62	1	4.977695	0.9931572	0.0099059932451818454	1
63	1	-0.161764145	0.4596469	1.1214020514949994	0
64	0	-5.327016	0.00483505568	0.0069924288920724343	0
65	1	1.03855085	0.7385703	0.4371928989161985	1
66	0	-3.88395548	0.0201547332	0.029374152252344635	0
67	1	2.589685	0.930194736	0.10439531998992779	1
68	1	6.03310728	0.9976077	0.0034554827493919762	1
69	0	-4.93300724	0.007153266	0.010357069301054376	0
70	0	-3.23659229	0.0378116742	0.055608799500037949	0
71	1	3.46449518	0.969660461	0.044448437339140764	1
72	0	-3.05788565	0.0448782444	0.066243440269040221	0
73	1	5.91540861	0.9973097	0.003886534813925873	1
74	1	1.60488939	0.8327006	0.26413021379218526	1
75	0	-4.12885952	0.01584609	0.02304414185758942	0
76	0	-4.63776064	0.009586558	0.013897199416692702	0
77	0	-3.15995932	0.04070064	0.059947001198040153	0
78	0	-3.58263421	0.0270503014	0.039562875187517617	0
79	0	-4.884918	0.007503021	0.010865384017248509	0
80	0	-3.441179	0.0310330112	0.045480578719104124	0
81	0	-3.93443084	0.0191816948	0.02794219036547986	0
82	0	-3.29285431	0.0358171426	0.052621315152377487	0
83	0	-3.05767822	0.0448871367	0.066256871949877477	0
84	1	4.98802328	0.993227065	0.0098045205997943641	1
85	1	3.18772364	0.960369647	0.058338288429534466	1
86	1	1.0590682	0.742512465	0.42951285031397557	1
87	1	3.95758677	0.981249154	0.027308590405771268	1
88	0	-3.88395548	0.0201547332	0.029374152252344635	0
89	0	-4.71552324	0.008875696	0.012862087390103173	0
90	0	-5.107146	0.00601691334	0.0087067913827365544	0
91	0	-4.56203175	0.01033294	0.014984834224983021	0
92	0	-3.88395548	0.0201547332	0.029374152252344635	0
93	0	-5.327016	0.00483505568	0.0069924288920724343	0
94	0	-4.69941568	0.009018519	0.013069997580773615	0
95	0	-5.107146	0.00601691334	0.0087067913827365544	0
96	0	-4.96976137	0.00689690746	0.0099846053604262901	0
97	0	-3.47622561	0.0299963076	0.043937855788646223	0
98	1	5.038983	0.9935614	0.009318987931742663	1
99	1	6.55885839	0.9985845	0.0020435686644296957	1
100	1	3.190596	0.960478842	0.058174260803953416	1
101	1	-1.240449	0.224357843	2.1561264743448483	0
102	0	-3.65420365	0.0252291188	0.036864939973476181	0
103	1	0.115842819	0.528928339	0.91885581919823278	1
104	1	6.973292	0.9990643	0.0013505237499848992	1
105	1	0.31378746	0.577809453	0.7913342881812746	1
106	1	6.87689352	0.998969734	0.0014871262597153912	1
107	1	3.82403135	0.9786272	0.031168706024446775	1
108	0	-4.97873974	0.006835683	0.0098956661346416858	0
109	1	3.99572134	0.981938064	0.026296065699859258	1
110	0	-3.34633017	0.0340155438	0.049928120199250858	0
111	1	2.6311717	0.932841	0.10029689142641568	1
112	1	5.49598551	0.995913565	0.0059075579432292967	1
113	1	6.47529	0.9984613	0.002221575667131344	1
114	0	-2.98614073	0.0480559319	0.071051285096227407	0
115	0	-4.1287837	0.0158472732	0.02304587572398243	0
116	0	-0.898125648	0.289435834	0.49296315937620311	0
117	1	4.70353937	0.991018236	0.013016490262667242	1
118	0	-4.76909971	0.008416578	0.012193943520036036	0
119	0	-3.75378919	0.0228924584	0.033410739197164877	0
120	0	-4.70799875	0.008942133	0.012958797049323898	0
121	0	-3.34605885	0.03402446	0.049941434219856001	0
122	1	6.867884	0.9989604	0.001500640884705153	1
123	1	1.99447775	0.880216062	0.18407039680205417	1
124	1	4.273338	0.9862563	0.019965482043768204	1
125	0	-5.327016	0.00483505568	0.0069924288920724343	0
126	1	4.71263456	0.9910989	0.012899094310221008	1
127	0	-4.29168558	0.0134971775	0.019604916230060426	0
128	1	3.347818	0.9660333	0.049855204052425175	1
129	0	-5.271946	0.00510739163	0.0073872895601491241	0
130	0	-3.23659229	0.0378116742	0.055608799500037949	0
131	0	-4.69941568	0.009018519	0.013069997580773615	0
132	1	5.738827	0.9967918	0.0046359236055014529	1
133	0	-4.3374176	0.01290161	0.018734200649807482	0
134	0	-4.477188	0.0112376073	0.016304223157164469	0
135	0	-2.77342319	0.0587773472	0.087392051972043389	0
136	0	-4.10382557	0.0162412636	0.023623552162962799	0
137	0	-4.73142624	0.008736885	0.01266004645418743	0
138	0	-3.874074	0.0203508064	0.029662873497674963	0
139	0				
140	0	-4.73142624	0.008736885	0.01266004645418743	0
141	0	-5.13915634	0.00582846347	0.0084332958699167727	0
142	1	2.53462648	0.9265339	0.11008436686792368	1
143	0	-4.1287837	0.0158472732	0.02304587572398243	0
144	0	-4.919286	0.00725137955	0.010499643937654568	0
145	0				
146	1	0.185849667	0.546329141	0.87215771785369722	1
147	0	-4.93812275	0.007117027	0.010304411526052911	0
148	0	-2.08798218	0.110270388	0.16856112656874939	0
149	1	6.974191	0.999065161	0.0013493187444396134	1
150	0	-5.14151335	0.005814822	0.0084135000328251115	0
151	1	2.66648912	0.93502	0.096930824843780988	1
152	1	6.82143354	0.998911	0.0015719175619827487	1
153	0	-3.614645	0.0262204576	0.038332902792355052	0
154	0	-5.54688644	0.00388443237	0.005614963867042919	0
155	1	2.24833822	0.9045071	0.14479626651911345	1
156	0	-4.913893	0.007290303	0.010556209568305783	0
157	0	-4.69941568	0.009018519	0.013069997580773615	0
158	0				
159	1	8.213823	0.9997292	0.0003907114930137318	1
160	1	6.409885	0.9983575	0.0023716112041259128	1
161	0	-3.70981741	0.0238969475	0.034894625912887001	0
162	0	-4.29168558	0.0134971775	0.019604916230060426	0
163	0	-4.20999336	0.0146292737	0.021261482597556794	0
164	0				
165	0	-3.35529184	0.0337223038	0.049490233625727506	0
166	1	5.13335562	0.9941378	0.0084822193431077515	1
167	1	4.31503153	0.986810148	0.019155543364578753	1
168	0	-4.29168558	0.0134971775	0.019604916230060426	0
169	0	-5.411859	0.004443502	0.0064249035079429941	0
170	0	-4.73142624	0.008736885	0.01266004645418743	0
171	0	-5.107146	0.00601691334	0.0087067913827365544	0
172	0	-5.327016	0.00483505568	0.0069924288920724343	0
173	1	9.17025	0.99989593	0.00015014866730286933	1
174	1	3.975721	0.9815799	0.026822388239048655	1
175	1	5.152492	0.994248331	0.0083218602326007394	1
176	0	-4.69941568	0.009018519	0.013069997580773615	0
177	1	2.95812941	0.9506463	0.073019455404151029	1
178	0	-3.88395548	0.0201547332	0.029374152252344635	0
179	1	1.01701117	0.73439	0.44538164079228265	1
180	0	-5.14151335	0.005814822	0.0084135000328251115	0
181	0	-5.54688644	0.00388443237	0.005614963867042919	0
182	0	-3.06849575	0.044425644	0.065559957020197429	0
183	1	5.99368048	0.997511744	0.0035942674561216673	1
184	1	4.203342	0.985274553	0.02140229773942209	1
185	0	-4.73378325	0.008716496	0.012630371740779033	0
186	1	3.11308241	0.9574292	0.06276233264507769	1
187	1	7.960954	0.9996513	0.00050313697757723938	1
188	1	5.49242926	0.9958991	0.0059285397279549654	1
189	0	-4.464271	0.0113820424	0.01651498260207233	0
190	1	8.532167	0.999803	0.00028422932711383894	1
191	1	7.08209562	0.9991607	0.0012113522642769625	1
192	0	-3.696096	0.0242191125	0.035370869193417386	0
193	0	-5.107146	0.00601691334	0.0087067913827365544	0
194	0	-4.29168558	0.0134971775	0.019604916230060426	0
195	0	-3.88395548	0.0201547332	0.029374152252344635	0
196	0	4.04038668	0.9827134	5.8542021580851644	1
197	0	-2.968041	0.04889074	0.072317012194299757	0
198	0	-5.54688644	0.00388443237	0.005614963867042919	0
199	0	-4.51155567	0.0108620832	0.015756402974357524	0
200	1	6.86756468	0.9989601	0.0015010712888550214	1
