#@ TextLoader{
#@   header+
#@   sep=tab
#@   col=Label:R4:0
#@   col=Workclass:TX:1
#@   col=Categories:TX:2-8
#@   col=NumericFeatures:R4:9-14
#@ }
Label	Workclass	education	marital-status	occupation	relationship	ethnicity	sex	native-country-region	age	fnlwgt	education-num	capital-gain	capital-loss	hours-per-week
0	Private	11th	Never-married	Machine-op-inspct	Own-child	Black	Male	United-States	25	226802	7	0	0	40
0	Private	HS-grad	Married-civ-spouse	Farming-fishing	Husband	White	Male	United-States	38	89814	9	0	0	50
1	Local-gov	Assoc-acdm	Married-civ-spouse	Protective-serv	Husband	White	Male	United-States	28	336951	12	0	0	40
1	Private	Some-college	Married-civ-spouse	Machine-op-inspct	Husband	Black	Male	United-States	44	160323	10	7688	0	40
0	?	Some-college	Never-married	?	Own-child	White	Female	United-States	18	103497	10	0	0	30
0	Private	10th	Never-married	Other-service	Not-in-family	White	Male	United-States	34	198693	6	0	0	30
0	?	HS-grad	Never-married	?	Unmarried	Black	Male	United-States	29	227026	9	0	0	40
1	Self-emp-not-inc	Prof-school	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	63	104626	15	3103	0	32
0	Private	Some-college	Never-married	Other-service	Unmarried	White	Female	United-States	24	369667	10	0	0	40
0	Private	7th-8th	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	55	104996	4	0	0	10
1	Private	HS-grad	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	65	184454	9	6418	0	40
0	Federal-gov	Bachelors	Married-civ-spouse	Adm-clerical	Husband	White	Male	United-States	36	212465	13	0	0	40
0	Private	HS-grad	Never-married	Adm-clerical	Not-in-family	White	Female	United-States	26	82091	9	0	0	39
0	?	HS-grad	Married-civ-spouse	?	Husband	White	Male	United-States	58	299831	9	0	0	35
1	Private	HS-grad	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	48	279724	9	3103	0	48
1	Private	Masters	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	43	346189	14	0	0	50
0	State-gov	Some-college	Never-married	Other-service	Own-child	White	Male	United-States	20	444554	10	0	0	25
0	Private	HS-grad	Married-civ-spouse	Adm-clerical	Wife	White	Female	United-States	43	128354	9	0	0	30
0	Private	HS-grad	Widowed	Machine-op-inspct	Unmarried	White	Female	United-States	37	60548	9	0	0	20
1	Private	Doctorate	Married-civ-spouse	Prof-specialty	Husband	Asian-Pac-Islander	Male	?	40	85019	16	0	0	45
1	Private	Bachelors	Married-civ-spouse	Tech-support	Husband	White	Male	United-States	34	107914	13	0	0	47
0	Private	Some-college	Never-married	Other-service	Own-child	Black	Female	United-States	34	238588	10	0	0	35
0	?	7th-8th	Divorced	?	Not-in-family	White	Female	United-States	72	132015	4	0	0	6
0	Private	Bachelors	Never-married	Prof-specialty	Not-in-family	White	Male	Peru	25	220931	13	0	0	43
0	Private	Bachelors	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	25	205947	13	0	0	40
1	Self-emp-not-inc	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	45	432824	9	7298	0	90
0	Private	HS-grad	Never-married	Adm-clerical	Own-child	White	Male	United-States	22	236427	9	0	0	20
0	Private	HS-grad	Separated	Machine-op-inspct	Unmarried	Black	Male	United-States	23	134446	9	0	0	54
0	Private	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	54	99516	9	0	0	35
0	Self-emp-not-inc	Some-college	Never-married	Prof-specialty	Not-in-family	White	Male	United-States	32	109282	10	0	0	60
1	State-gov	Some-college	Married-civ-spouse	Exec-managerial	Husband	Black	Male	United-States	46	106444	10	7688	0	38
0	Self-emp-not-inc	11th	Widowed	Other-service	Unmarried	White	Female	United-States	56	186651	7	0	0	50
0	Self-emp-not-inc	Bachelors	Never-married	Sales	Not-in-family	White	Male	United-States	24	188274	13	0	0	50
0	Local-gov	Some-college	Married-civ-spouse	Protective-serv	Husband	White	Male	United-States	23	258120	10	0	0	40
0	Private	HS-grad	Divorced	Exec-managerial	Unmarried	White	Female	United-States	26	43311	9	0	0	40
0	?	HS-grad	Married-civ-spouse	?	Husband	White	Male	United-States	65	191846	9	0	0	40
1	Local-gov	Bachelors	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	36	403681	13	0	0	40
0	Private	5th-6th	Never-married	Priv-house-serv	Not-in-family	White	Male	Guatemala	22	248446	3	0	0	50
0	Private	10th	Never-married	Machine-op-inspct	Not-in-family	White	Male	United-States	17	269430	6	0	0	40
0	Private	HS-grad	Never-married	Craft-repair	Own-child	White	Male	United-States	20	257509	9	0	0	40
1	Private	Masters	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	65	136384	14	0	0	50
1	Self-emp-inc	Assoc-voc	Married-civ-spouse	Sales	Husband	White	Male	United-States	44	120277	11	0	0	45
0	Private	HS-grad	Married-civ-spouse	Farming-fishing	Husband	White	Male	United-States	36	465326	9	0	0	40
0	Private	11th	Married-civ-spouse	Other-service	Husband	White	Male	United-States	29	103634	7	0	0	40
0	State-gov	Some-college	Never-married	Farming-fishing	Own-child	White	Male	United-States	20	138371	10	0	0	32
1	Private	Assoc-voc	Married-civ-spouse	Prof-specialty	Wife	White	Female	United-States	28	242832	11	0	0	36
0	Private	7th-8th	Married-civ-spouse	Craft-repair	Husband	White	Male	Mexico	39	290208	4	0	0	40
0	Private	Some-college	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	54	186272	10	3908	0	50
0	Private	11th	Separated	Priv-house-serv	Not-in-family	Black	Female	United-States	52	201062	7	0	0	18
0	Self-emp-inc	HS-grad	Widowed	Exec-managerial	Not-in-family	White	Female	United-States	56	131916	9	0	0	50
0	Private	Some-college	Never-married	Other-service	Own-child	White	Male	United-States	18	54440	10	0	0	20
0	Private	HS-grad	Divorced	Handlers-cleaners	Own-child	Black	Male	United-States	39	280215	9	0	0	40
0	Private	Some-college	Never-married	Other-service	Own-child	White	Female	United-States	21	214399	10	0	1721	24
1	Private	HS-grad	Never-married	Other-service	Not-in-family	White	Male	United-States	22	54164	9	14084	0	60
0	Private	9th	Married-spouse-absent	Exec-managerial	Not-in-family	White	Male	Mexico	38	219446	5	0	0	54
0	Private	Some-college	Never-married	Adm-clerical	Own-child	White	Female	United-States	21	110677	10	0	0	40
0	Private	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	63	145985	9	0	0	40
1	Local-gov	Bachelors	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	34	382078	13	3103	0	50
1	Self-emp-inc	HS-grad	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	42	170721	9	5178	0	50
0	Private	HS-grad	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	United-States	33	269705	9	0	0	40
0	Private	Bachelors	Never-married	Exec-managerial	Not-in-family	White	Female	United-States	30	101135	13	0	0	50
0	Private	Some-college	Divorced	Sales	Not-in-family	White	Male	United-States	39	118429	10	0	0	40
0	Private	Masters	Never-married	Exec-managerial	Not-in-family	White	Female	United-States	26	31208	14	0	0	40
0	Private	HS-grad	Never-married	Machine-op-inspct	Own-child	White	Female	United-States	33	281384	9	0	0	40
